directory,name of file,Data Source,number of procedure,name of stored procedures,number of Queries
POA,POA_StatusReport.rdl, trnBPM,6, POA_rptStatusReport eBPM_rptuspGetRegions eBPM_rptGetCountryByRegion eBPM_rptGetSiteByCountryPlugin POA_rptGetLegalEntity eBPM_rptGetMepsBySite,0
Support,ErrorHandler.rdl, DataSource1,0,,1
TAX,TAX Granted Roles.rdl, trnBPM,5, TAX_ruspGrantedRoles TAX_ruspGetRegions TAX_ruspGetRoles uspGetReportHeaderImage TAX_ruspGetLegalEntitesByRegion,0
TAX,TAX Status Report.rdl, EBPM_DWH trnBPM,6, TAX_ruspStatusReport TAX_ruspGetRegions TAX_ruspGetQueues ATR_ruspGetStatus ATR_ruspGetTaxYear TAX_ruspGetLegalEntitesByRegion,0
VOC,Average score by user type.rdl, trnEBPM,1, Survey_ruspGetResponseRate,0
VOC,Average Score By Verticals Site.rdl, trnEBPM,1, Survey_ruspAverageScoreByVerticalsSite,0
VOC,Detailed average score by service Deep dive 2.rdl, trnEBPM,1, Survey_ruspGetRateByService,0
VOC,Detailed average score by service Deep dive 3.rdl, trnEBPM,1, Survey_ruspGetRateByService,0
VOC,Detailed average score by service.rdl, trnEBPM,1, Survey_ruspGetRateByService,0
VOC,Detailed average score by vertical.rdl, trnEBPM,1, Survey_ruspGetRateByTheme,0
VOC,Details.rdl, trnEBPM,1, Survey_ruspGetSurveyStatusDetail,0
VOC,Rating summary.rdl, trnEBPM,1, Survey_ruspGetRatingSummary,0
VOC,Response Rate Detail.rdl, trnEBPM,1, Survey_ruspGetResponseRateDetail,0
VOC,Response Rate.rdl, trnEBPM,1, Survey_ruspGetResponseRate,0
VOC,Service Parameters.rdl, trnEBPM,1, Survey_ruspServiceParameters,0
VOC,Services by GBS centers.rdl, trnEBPM,0,,1
VOC,Services By Site.rdl, trnEBPM,0,,1
VOC,Survey Responses.rdl, trnEBPM,1, Survey_ruspGetSurveyResponses,0
VOC,User Log Details.rdl, DataSource1,4, survey_ruspuserLogDetails Survey_ruspGetPeriodAndRole Survey_ruspGetPeriodAndRole Survey_ruspGetPeriodAndRole,0
VOC,Verticals By Level.rdl, trnEBPM,0,,1
VOC,Verticals By Site.rdl, trnEBPM,0,,1
VPL,Invoice Report.rdl, VPL_Invoice_Report UserAccess,0,,4
VPL,User Access.rdl, VPL_UserAccess,0,,2
VPL,VPL invoice header.rdl, VPL_Invoice_Header,0,,1
VPL,VPL Invoices as Soft Copy.rdl, VPL_InvoiceAsSoftCopy_Report,0,,1
VPL,VPL Pending Request for Approval.rdl, PendingReq,1, VPL_uspGetPendingRequestsInApprovalQueues,0
VPL,VPL Transaction Invoice Details Report.rdl, VPL_TransactionInvoiceDetails_Report,0,,4
VPL,VPL Transaction Report.rdl, VPL_Transaction_Report_Optika285v03,0,,1
VPL,VPL_Invoices_Report.rdl, sacnt158,0,,1
VPL,VPL_RejectionCount.rdl, Optikacustom285v03,1, VPL_uspReportInvoiceRejectionDetails,0
XPA,XPA Dashboard Request.rdl, trnBPM,2, XPA_ruspDashboarByRequestReport XPA_ruspDashboarByRequestReport,0
XPA,XPA Summary Report Detail.rdl, trnBPM,7, XPA_ruspSummaryReportDetail XPA_rptGetRegion XPA_rptGetCompanies XPA_rptGetQueue XPA_rptGetRequestStatus XPA_rptGetBusinessUnit XPA_rptGetMEPCodes,0
XPA,XPA Summary Report.rdl, trnBPM,8, XPA_ruspSummaryReport XPA_rptGetRegion XPA_rptGetQueue XPA_rptGetRequestStatus XPA_rptGetBusinessUnit XPA_rptGetMEPCodes XPA_rptGetCompanies XPA_rptGetChildMepCodes,0
